email,hidden_ability,language,name,persona,preferred_paper_type,strong_chapter_ids,student_code,synthetic_student_index,target_grade,target_score,user_id,weak_chapter_ids
synthetic.student0047@mathsy.synthetic,0.606,english,Synthetic Student 047 (D Level),Fresh Starter,kertas2,"[5, 11, 17]",STU-SYN0047,47,D,45.83,14809,"[12, 9, 7, 10]"
synthetic.student0048@mathsy.synthetic,0.5168,bm,Synthetic Student 048 (D Level),Flexible Learner,kertas2,"[11, 3, 6]",STU-SYN0048,48,D,45.7,14810,"[4, 10, 12, 5, 17]"
synthetic.student0049@mathsy.synthetic,0.4448,bm,Synthetic Student 049 (E Level),Weekend Learner,mixed,"[3, 12]",STU-SYN0049,49,E,42.29,14811,"[4, 18, 14]"
synthetic.student0050@mathsy.synthetic,0.8494,english,Synthetic Student 050 (A Level),Consistent Climber,kertas2,"[14, 18, 13, 16]",STU-SYN0050,50,A,85.7,14812,"[9, 4, 2, 8]"
synthetic.student0051@mathsy.synthetic,0.8563,english,Synthetic Student 051 (A Level),Consistent Climber,mixed,"[15, 9]",STU-SYN0051,51,A,85.08,14813,"[2, 18, 11, 17, 5]"
synthetic.student0052@mathsy.synthetic,0.396,english,Synthetic Student 052 (G Level),Fresh Starter,kertas2,"[9, 13]",STU-SYN0052,52,G,27.68,14814,"[14, 7, 15]"
synthetic.student0053@mathsy.synthetic,0.7048,english,Synthetic Student 053 (B+ Level),Deep Focus Learner,kertas1,"[17, 1, 5]",STU-SYN0053,53,B+,66.61,14815,"[3, 9]"
synthetic.student0054@mathsy.synthetic,0.7954,english,Synthetic Student 054 (A- Level),High Achiever,kertas2,"[8, 17, 10]",STU-SYN0054,54,A-,79.95,14816,"[5, 13, 2, 4, 18]"
synthetic.student0055@mathsy.synthetic,0.8152,bm,Synthetic Student 055 (A Level),High Achiever,kertas2,"[6, 3, 1]",STU-SYN0055,55,A,85.54,14817,"[4, 11]"
synthetic.student0056@mathsy.synthetic,0.5166,english,Synthetic Student 056 (D Level),Flexible Learner,kertas1,"[4, 9, 17, 16]",STU-SYN0056,56,D,46.18,14818,"[12, 13, 5, 6]"
synthetic.student0057@mathsy.synthetic,0.5225,english,Synthetic Student 057 (C Level),Flexible Learner,mixed,"[17, 13]",STU-SYN0057,57,C,52.25,14819,"[7, 8]"
synthetic.student0058@mathsy.synthetic,0.6621,english,Synthetic Student 058 (C+ Level),Flexible Learner,mixed,"[7, 17, 11]",STU-SYN0058,58,C+,59.6,14820,"[14, 1, 12, 18, 3]"
synthetic.student0059@mathsy.synthetic,0.5206,english,Synthetic Student 059 (D Level),Weekend Learner,kertas1,"[1, 17]",STU-SYN0059,59,D,45.83,14821,"[18, 10, 6]"
synthetic.student0060@mathsy.synthetic,0.7203,bm,Synthetic Student 060 (B+ Level),Flexible Learner,kertas2,"[8, 15, 9]",STU-SYN0060,60,B+,65.52,14822,"[7, 4, 1, 5, 11]"
synthetic.student0061@mathsy.synthetic,0.601,bm,Synthetic Student 061 (B Level),Consistent Climber,kertas1,"[12, 6, 15, 10]",STU-SYN0061,61,B,60.68,14823,"[11, 8, 2, 3]"
synthetic.student0062@mathsy.synthetic,0.403,english,Synthetic Student 062 (G Level),Fresh Starter,kertas1,"[12, 5, 4, 13]",STU-SYN0062,62,G,32.07,14824,"[17, 11]"
synthetic.student0063@mathsy.synthetic,0.4986,english,Synthetic Student 063 (D Level),Flexible Learner,kertas2,"[17, 9, 11, 16]",STU-SYN0063,63,D,47.18,14825,"[4, 3]"
synthetic.student0064@mathsy.synthetic,0.7405,bm,Synthetic Student 064 (B+ Level),Flexible Learner,kertas1,"[11, 16]",STU-SYN0064,64,B+,69.57,14826,"[7, 8, 3, 12, 6]"
synthetic.student0065@mathsy.synthetic,0.6058,english,Synthetic Student 065 (B Level),Consistent Climber,kertas2,"[16, 5, 12]",STU-SYN0065,65,B,62.12,14827,"[14, 4, 7]"
synthetic.student0066@mathsy.synthetic,0.6525,english,Synthetic Student 066 (B Level),Flexible Learner,mixed,"[2, 3, 16]",STU-SYN0066,66,B,64.2,14828,"[12, 18, 17]"
synthetic.student0067@mathsy.synthetic,0.669,english,Synthetic Student 067 (B Level),Deep Focus Learner,kertas2,"[15, 3, 13, 1]",STU-SYN0067,67,B,64.69,14829,"[9, 7]"
synthetic.student0068@mathsy.synthetic,0.5183,english,Synthetic Student 068 (D Level),Flexible Learner,mixed,"[13, 17]",STU-SYN0068,68,D,47.51,14830,"[3, 18, 5]"
synthetic.student0069@mathsy.synthetic,0.7416,english,Synthetic Student 069 (A- Level),Weekend Learner,kertas1,"[5, 18, 12, 9]",STU-SYN0069,69,A-,71.58,14831,"[7, 13]"
synthetic.student0070@mathsy.synthetic,0.5987,english,Synthetic Student 070 (C Level),Deep Focus Learner,kertas1,"[6, 16, 9, 1]",STU-SYN0070,70,C,53.81,14832,"[11, 15, 14, 12]"
synthetic.student0071@mathsy.synthetic,0.6238,english,Synthetic Student 071 (B+ Level),Consistent Climber,kertas1,"[12, 10, 16]",STU-SYN0071,71,B+,68.08,14833,"[18, 3]"
synthetic.student0072@mathsy.synthetic,0.3608,bm,Synthetic Student 072 (G Level),Fresh Starter,kertas1,"[11, 12]",STU-SYN0072,72,G,25,14834,"[15, 3, 4, 18]"
synthetic.student0073@mathsy.synthetic,0.3028,bm,Synthetic Student 073 (G Level),Fresh Starter,kertas1,"[15, 7, 18, 8]",STU-SYN0073,73,G,25,14835,"[5, 17]"
synthetic.student0074@mathsy.synthetic,0.5248,english,Synthetic Student 074 (D Level),Deep Focus Learner,kertas2,"[18, 17]",STU-SYN0074,74,D,47.51,14836,"[16, 3, 7, 10, 14]"
synthetic.student0075@mathsy.synthetic,0.67,bm,Synthetic Student 075 (B+ Level),Consistent Climber,kertas1,"[6, 17]",STU-SYN0075,75,B+,69.4,14837,"[3, 2, 7, 9]"
synthetic.student0076@mathsy.synthetic,0.474,english,Synthetic Student 076 (D Level),Flexible Learner,kertas1,"[13, 5, 7, 18]",STU-SYN0076,76,D,47.37,14838,"[8, 9]"
synthetic.student0077@mathsy.synthetic,0.4286,english,Synthetic Student 077 (G Level),Fresh Starter,kertas2,"[6, 2]",STU-SYN0077,77,G,31.65,14839,"[1, 9]"
synthetic.student0078@mathsy.synthetic,0.4595,english,Synthetic Student 078 (D Level),Weekend Learner,kertas2,"[17, 14, 5]",STU-SYN0078,78,D,45.81,14840,"[8, 11]"
synthetic.student0079@mathsy.synthetic,0.6812,bm,Synthetic Student 079 (B+ Level),Flexible Learner,kertas2,"[8, 4, 15, 5]",STU-SYN0079,79,B+,66.09,14841,"[17, 14, 18]"
synthetic.student0080@mathsy.synthetic,0.5465,bm,Synthetic Student 080 (D Level),Deep Focus Learner,mixed,"[17, 1, 4]",STU-SYN0080,80,D,48.57,14842,"[5, 7, 15, 6, 10]"
synthetic.student0081@mathsy.synthetic,0.5514,english,Synthetic Student 081 (C Level),Deep Focus Learner,kertas1,"[5, 11, 3, 8]",STU-SYN0081,81,C,50.2,14843,"[17, 12, 15, 4, 18]"
synthetic.student0082@mathsy.synthetic,0.6896,english,Synthetic Student 082 (A- Level),Consistent Climber,kertas1,"[7, 8, 15]",STU-SYN0082,82,A-,73.77,14844,"[5, 16, 3]"
synthetic.student0083@mathsy.synthetic,0.4205,english,Synthetic Student 083 (G Level),Weekend Learner,kertas2,"[13, 16]",STU-SYN0083,83,G,38.48,14845,"[6, 14, 10]"
synthetic.student0084@mathsy.synthetic,0.449,english,Synthetic Student 084 (G Level),Fresh Starter,kertas1,"[17, 6, 3, 13]",STU-SYN0084,84,G,32.23,14846,"[15, 14, 12]"
synthetic.student0085@mathsy.synthetic,0.6209,bm,Synthetic Student 085 (C+ Level),Flexible Learner,kertas1,"[4, 2, 10, 15]",STU-SYN0085,85,C+,56.95,14847,"[5, 3, 13, 12, 8]"
synthetic.student0086@mathsy.synthetic,0.8807,english,Synthetic Student 086 (A Level),High Achiever,kertas2,"[2, 10, 8]",STU-SYN0086,86,A,89.7,14848,"[9, 1, 15, 11]"
synthetic.student0087@mathsy.synthetic,0.4537,english,Synthetic Student 087 (E Level),Flexible Learner,kertas1,"[4, 13, 5, 7]",STU-SYN0087,87,E,40.36,14849,"[11, 17, 6, 15, 16]"
synthetic.student0088@mathsy.synthetic,0.4559,english,Synthetic Student 088 (G Level),Flexible Learner,mixed,"[18, 7]",STU-SYN0088,88,G,39.17,14850,"[13, 16, 8, 3, 14]"
synthetic.student0089@mathsy.synthetic,0.6654,bm,Synthetic Student 089 (B Level),Weekend Learner,kertas1,"[15, 14]",STU-SYN0089,89,B,62.67,14851,"[13, 4, 6]"
synthetic.student0090@mathsy.synthetic,0.8477,bm,Synthetic Student 090 (A Level),Consistent Climber,mixed,"[1, 18, 6]",STU-SYN0090,90,A,87.27,14852,"[12, 4, 16]"
synthetic.student0091@mathsy.synthetic,0.7996,bm,Synthetic Student 091 (A Level),High Achiever,mixed,"[9, 14, 5, 7]",STU-SYN0091,91,A,85.8,14853,"[8, 10]"
synthetic.student0092@mathsy.synthetic,0.5492,english,Synthetic Student 092 (C Level),Deep Focus Learner,mixed,"[1, 11, 5, 18]",STU-SYN0092,92,C,50.66,14854,"[7, 14, 13]"
synthetic.student0093@mathsy.synthetic,0.5169,english,Synthetic Student 093 (D Level),Flexible Learner,kertas1,"[5, 3]",STU-SYN0093,93,D,48.7,14855,"[9, 16, 11]"
synthetic.student0094@mathsy.synthetic,0.706,english,Synthetic Student 094 (B+ Level),Deep Focus Learner,kertas1,"[6, 13, 4]",STU-SYN0094,94,B+,68.81,14856,"[9, 10]"
synthetic.student0095@mathsy.synthetic,0.5957,english,Synthetic Student 095 (C+ Level),Flexible Learner,kertas1,"[7, 16, 1]",STU-SYN0095,95,C+,56.52,14857,"[17, 6, 9, 11, 10]"
synthetic.student0096@mathsy.synthetic,0.7352,english,Synthetic Student 096 (A- Level),Flexible Learner,kertas2,"[16, 6]",STU-SYN0096,96,A-,71.6,14858,"[4, 5]"
synthetic.student0097@mathsy.synthetic,0.8747,english,Synthetic Student 097 (A+ Level),High Achiever,kertas1,"[1, 12, 15]",STU-SYN0097,97,A+,93.41,14859,"[2, 3]"
synthetic.student0098@mathsy.synthetic,0.589,english,Synthetic Student 098 (B Level),Consistent Climber,mixed,"[18, 14]",STU-SYN0098,98,B,60.27,14860,"[10, 8, 2]"
synthetic.student0099@mathsy.synthetic,0.5134,english,Synthetic Student 099 (G Level),Fresh Starter,kertas1,"[10, 8]",STU-SYN0099,99,G,37.02,14861,"[5, 17, 9, 16, 13]"
synthetic.student0100@mathsy.synthetic,0.7959,bm,Synthetic Student 100 (A- Level),Deep Focus Learner,mixed,"[12, 7, 15, 10]",STU-SYN0100,100,A-,75.55,14862,"[6, 8, 17]"
synthetic.student0101@mathsy.synthetic,0.6798,english,Synthetic Student 101 (B+ Level),Consistent Climber,kertas2,"[14, 13, 4]",STU-SYN0101,101,B+,68.64,14863,"[8, 7, 11, 10, 3]"
synthetic.student0102@mathsy.synthetic,0.6345,english,Synthetic Student 102 (B Level),Flexible Learner,mixed,"[17, 15]",STU-SYN0102,102,B,62.01,14864,"[9, 8]"
synthetic.student0103@mathsy.synthetic,0.8398,bm,Synthetic Student 103 (A Level),Consistent Climber,kertas2,"[3, 7]",STU-SYN0103,103,A,87.96,14865,"[12, 14, 18]"
synthetic.student0104@mathsy.synthetic,0.7125,bm,Synthetic Student 104 (B+ Level),Flexible Learner,mixed,"[11, 6]",STU-SYN0104,104,B+,66.2,14866,"[3, 9, 7, 18]"
synthetic.student0105@mathsy.synthetic,0.6537,bm,Synthetic Student 105 (B Level),Deep Focus Learner,kertas1,"[3, 2]",STU-SYN0105,105,B,60.23,14867,"[7, 17, 4, 16, 13]"
synthetic.student0106@mathsy.synthetic,0.6616,english,Synthetic Student 106 (B Level),Deep Focus Learner,kertas1,"[16, 6, 18, 10]",STU-SYN0106,106,B,64.36,14868,"[7, 3]"
synthetic.student0107@mathsy.synthetic,0.6316,bm,Synthetic Student 107 (B+ Level),Consistent Climber,kertas2,"[2, 17]",STU-SYN0107,107,B+,66.88,14869,"[16, 13, 11]"
synthetic.student0108@mathsy.synthetic,0.6771,english,Synthetic Student 108 (B Level),Deep Focus Learner,kertas1,"[17, 8, 7]",STU-SYN0108,108,B,61.91,14870,"[9, 13, 14]"
synthetic.student0109@mathsy.synthetic,0.666,bm,Synthetic Student 109 (B Level),Flexible Learner,kertas1,"[2, 16, 5]",STU-SYN0109,109,B,63.3,14871,"[11, 10, 4, 13]"
synthetic.student0110@mathsy.synthetic,0.7426,english,Synthetic Student 110 (B+ Level),Deep Focus Learner,mixed,"[17, 5, 9, 1]",STU-SYN0110,110,B+,68.95,14872,"[14, 8, 6, 4]"
synthetic.student0111@mathsy.synthetic,0.5999,english,Synthetic Student 111 (C+ Level),Flexible Learner,kertas1,"[1, 18, 17, 10]",STU-SYN0111,111,C+,56.45,14873,"[3, 7, 15]"
synthetic.student0112@mathsy.synthetic,0.6075,english,Synthetic Student 112 (C+ Level),Flexible Learner,kertas2,"[13, 10, 15]",STU-SYN0112,112,C+,59.6,14874,"[4, 7]"
synthetic.student0113@mathsy.synthetic,0.8594,english,Synthetic Student 113 (A Level),Consistent Climber,kertas1,"[15, 9]",STU-SYN0113,113,A,87.89,14875,"[13, 18, 12]"
synthetic.student0114@mathsy.synthetic,0.7416,bm,Synthetic Student 114 (A- Level),Flexible Learner,mixed,"[17, 6, 14, 3]",STU-SYN0114,114,A-,71.26,14876,"[8, 13, 2, 15]"
synthetic.student0115@mathsy.synthetic,0.6432,english,Synthetic Student 115 (B+ Level),Consistent Climber,mixed,"[6, 8, 15, 18]",STU-SYN0115,115,B+,67.2,14877,"[9, 16]"
synthetic.student0116@mathsy.synthetic,0.4236,bm,Synthetic Student 116 (G Level),Weekend Learner,kertas1,"[2, 7, 15, 5]",STU-SYN0116,116,G,36.32,14878,"[18, 3, 9, 11, 12]"
synthetic.student0117@mathsy.synthetic,0.8416,english,Synthetic Student 117 (A Level),High Achiever,kertas1,"[1, 8]",STU-SYN0117,117,A,84.95,14879,"[7, 17, 15, 3, 6]"
synthetic.student0118@mathsy.synthetic,0.6715,english,Synthetic Student 118 (B Level),Deep Focus Learner,kertas1,"[3, 5, 8]",STU-SYN0118,118,B,62.69,14880,"[10, 2, 9, 4]"
synthetic.student0119@mathsy.synthetic,0.5693,english,Synthetic Student 119 (C Level),Weekend Learner,kertas1,"[15, 6, 18, 2]",STU-SYN0119,119,C,50.23,14881,"[14, 9, 10, 16, 13]"
synthetic.student0120@mathsy.synthetic,0.6814,english,Synthetic Student 120 (A- Level),Consistent Climber,mixed,"[1, 2, 7]",STU-SYN0120,120,A-,70.49,14882,"[16, 5, 14]"
synthetic.student0121@mathsy.synthetic,0.7325,bm,Synthetic Student 121 (A- Level),Weekend Learner,kertas1,"[18, 7, 1, 14]",STU-SYN0121,121,A-,70.53,14883,"[2, 16]"
synthetic.student0122@mathsy.synthetic,0.7068,english,Synthetic Student 122 (B+ Level),Flexible Learner,mixed,"[10, 12]",STU-SYN0122,122,B+,68.74,14884,"[13, 15, 7]"
synthetic.student0123@mathsy.synthetic,0.695,english,Synthetic Student 123 (B Level),Deep Focus Learner,mixed,"[4, 5, 8]",STU-SYN0123,123,B,64.03,14885,"[13, 9, 6, 12]"
synthetic.student0124@mathsy.synthetic,0.5989,bm,Synthetic Student 124 (C+ Level),Flexible Learner,kertas1,"[3, 6, 4, 10]",STU-SYN0124,124,C+,58.0,14886,"[18, 9]"
synthetic.student0125@mathsy.synthetic,0.5244,bm,Synthetic Student 125 (E Level),Fresh Starter,kertas2,"[10, 6, 15]",STU-SYN0125,125,E,41.45,14887,"[14, 8]"
synthetic.student0126@mathsy.synthetic,0.613,bm,Synthetic Student 126 (B Level),Consistent Climber,kertas2,"[13, 3]",STU-SYN0126,126,B,62.96,14888,"[1, 9, 8, 5, 18]"
synthetic.student0127@mathsy.synthetic,0.7958,english,Synthetic Student 127 (A Level),Consistent Climber,kertas2,"[15, 13, 14, 9]",STU-SYN0127,127,A,82.75,14889,"[6, 16]"
synthetic.student0128@mathsy.synthetic,0.6377,english,Synthetic Student 128 (B Level),Deep Focus Learner,kertas1,"[12, 17, 13, 1]",STU-SYN0128,128,B,60.6,14890,"[9, 8, 3]"
synthetic.student0129@mathsy.synthetic,0.7783,english,Synthetic Student 129 (A- Level),Deep Focus Learner,mixed,"[17, 10, 8]",STU-SYN0129,129,A-,72.28,14891,"[18, 13, 9]"
synthetic.student0130@mathsy.synthetic,0.6002,bm,Synthetic Student 130 (B+ Level),Consistent Climber,mixed,"[2, 14]",STU-SYN0130,130,B+,65.98,14892,"[7, 5]"
synthetic.student0131@mathsy.synthetic,0.5814,bm,Synthetic Student 131 (D Level),Fresh Starter,mixed,"[9, 1, 10]",STU-SYN0131,131,D,45.24,14893,"[18, 5, 6, 16, 14]"
synthetic.student0132@mathsy.synthetic,0.6287,english,Synthetic Student 132 (C+ Level),Weekend Learner,mixed,"[9, 17, 10]",STU-SYN0132,132,C+,58.69,14894,"[13, 16, 15]"
synthetic.student0133@mathsy.synthetic,0.851,english,Synthetic Student 133 (A Level),High Achiever,kertas1,"[8, 6, 15]",STU-SYN0133,133,A,87.35,14895,"[14, 3, 5, 7]"
synthetic.student0134@mathsy.synthetic,0.6981,english,Synthetic Student 134 (B Level),Deep Focus Learner,kertas2,"[8, 6, 10, 14]",STU-SYN0134,134,B,64.82,14896,"[5, 7, 9, 15]"
synthetic.student0135@mathsy.synthetic,0.8949,english,Synthetic Student 135 (A+ Level),High Achiever,kertas1,"[3, 5, 4]",STU-SYN0135,135,A+,91.42,14897,"[16, 7, 12, 9]"
synthetic.student0136@mathsy.synthetic,0.6547,english,Synthetic Student 136 (C+ Level),Weekend Learner,kertas2,"[5, 14, 4, 7]",STU-SYN0136,136,C+,59.4,14898,"[8, 2, 13]"
synthetic.student0137@mathsy.synthetic,0.7315,bm,Synthetic Student 137 (A- Level),Consistent Climber,kertas1,"[13, 3, 6]",STU-SYN0137,137,A-,73.44,14899,"[8, 7, 17, 16, 11]"
synthetic.student0138@mathsy.synthetic,0.5153,english,Synthetic Student 138 (G Level),Fresh Starter,kertas2,"[11, 6]",STU-SYN0138,138,G,40.0,14900,"[9, 12, 18]"
synthetic.student0139@mathsy.synthetic,0.4839,english,Synthetic Student 139 (E Level),Flexible Learner,kertas1,"[17, 3, 9, 5]",STU-SYN0139,139,E,44.45,14901,"[18, 2, 15]"
